,Year_of_prod,Season,Episode Number,Episode_Title,Duration,Summary,Director,Stars,Votes,match,text,len in words,len_prep
0,1994,1,1,The One Where Monica Gets a Roommate: The Pilot,22,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fianc� at the altar.",James Burrows,8.3,7440,11,tell guy work going guy got wrong nice hump hump hairpiece wait eat chalk want went relax date people going dinner having sex sounds date high school standing middle cafeteria realize naked dream look realize phone right dream sudden phone starts ring know starts looking looking figure answer turns mother weird calls hi guy says wanna kill okay sweetie feel reached throat grabbed small intestine pulled mouth tied neck moved stuff today let coffee thanks stop cleansing aura leave aura okay fine murky fine alright hope happy hell left knew lesbian fixating know know wish lesbian told mom dad night hysterical phone got woman sobbing look feeling lot pain angry hurting tell answer joint single hormones want single okay wanna married want dollars thank went building guy big hammer said coffee caff okay high survivor remember brother sure wanna tell waiting wet bridesmaids started half hour wedding room keeping presents looking gravy boat gorgeous gravy boat realized turned gravy boat got freaked hit invited wedding hoping issue guessing bought big pipe organ happy egg salad having daddy marry sorry love matters let hair head fall wearing pants push stairs daddy listen life told shoe shoe shoe shoe today stopped said wanna shoe wanna purse hat saying want buy hat saying metaphor trouble look life stay guess established staying decision need money wait wait said breathe try think nice calm things raindrops roses rabbits kittens bluebells sleighbells mittens noodles string helped look best independence taking control life hat thing need come live hall lot stop hitting wedding day rule horrible sound asked dear moment wait cancel fine okay mean want stay good mean sell drink complain lot come sorry catch umm umm got wandering change okay sit seconds pulled eyelashes good little tip likes rub neck spot starts little red shut tonight supposed headed honeymoon getting honeymoon time year talk lizards feel tonight coming help new furniture excited thanks think gon hang tonight long day wanna help wish want sweet summer showers love wondrous work art love love love giant pigeon crapping heart la la la thank la la la ohhh supposed attach brackety thing things bunch little worm guys brackety thing whim guys feel legs thinking got bookcase beautiful thing bracket goes idea bookcase finished favorite beer drank known gon start stuff outta spoil fun let ask question got furniture stereo good guys got screwed know know idiot guess caught started going dentist times week mean clean teeth brother going mess try breaking valuable way went watch broke watch worst thing shredded boyfriend favorite bath towel steer clear right sorry sorry know think said day making love socks hi machine cut look look know girl going lucky idea chance divorced divorced shut stop took hour look got understand relationship lasted love woman years years closeness sharing end ripped heart think point know scariest woman mean case talking woman saying flavor ice cream lemme tell lots flavors bing nuts whipped cream best thing happened got married welcome world grab spoon know hungry horny stay freezer walked spell noodles fifth date revelation gon fifth date think gon left able perform sorry sorry okay know spit need long years glad smashed watch think want fifth date loved difference grab spoon know grabbed spoon words hero mean great story got got date man screamer cats thanks outta thing ask woman gon ask amazing mean coffee entire life amazing congratulations figure coffee invade listen roll feel got western omelet hungry good morning good morning morning morning thank thank stop telling night umm birthdays graduations barn raising scene talk thank real date hell real date shut table kids got work input numbers difference guys jobs jobs buy stuff actor seen doubt regional work wait wait happened catch production little theater park look job right look real live boy abuse right sorry wooden boy little wooden boy know dead man today sleep okay talk stop smiling look slept hanger mouth know remember feelings trouble big time want wedding dress think getting little selves going work think day gon work look wish luck gon job things welcome sex hate pushing having sex know know mean know know kidding credit snap turtle years line assume looking answer sophisticated bed hate men hate men hate want universe sort beacon dogs men severe emotional problems hear gimme feet thought nice believe know line guess got job kidding trained laughed interviews today upbeat found boots sale percent know new need job need parents got great boots boots pay credit card pays father come guys necessary mean stop charging want live parents life know getting married break hard time thank welcome remember came city mom killed step dad prison got know ended living guy cleaning windshields port authority killed found aromatherapy believe know feel word looking ready ready ready ready jump airplane parachute come know think come coffee cut cut cut cut cut cut cut cut cut cut cut think leave symbolic gesture library card cut cut cut cut cut cut cut listen hear retailers scream welcome real world sucks gon love gon crash couch got okay look found floor watch found want split know know high school major crush knew figured thought geeky older brother listen try let intense vulnerability kind factor think okay asked grabbed spoon believe hearing believe hearing said said stop said nice butt great butt know great butt came bit image like coffee serving serving cup coffee new dream coffee excuse guy thank,16424.0,5280.0
1,1994,1,2,The One with the Sonogram at the End,22,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,James Burrows,8.1,4888,12,guys understand kissing important need know kiss think kissing opening act mean stand comedian sit comes like comedian bought ticket problem concert great girls looking comedian mean car fighting traffic trying stay awake word advice talking sex good good little angry issues banging women head club sits home trying mastodon smell carpet cave people issues glacier getting close speaking issues ex wife catch look great hate look good stands erect new lesbian know family paranoid pregnant think episode kind misunderstanding swallowing slowed little ball paper wrote note realised need balled wish dead fluffed pillow know fluffed fine look sorry guys wanna ammunition know cruel parent flatness child pillow scaring mean chaotic good way calm getting chaotic time come parents concerned wrong big ceremony born ew ew ew got seen engagement ring beautiful look touch dreading tomorrow having remember girl veil stomped heart entire family gon return ring ring makes harder find lost lot doy days know morning know kitchen mad sorry gave job look noodles know look engagement ring lasagne boys going happy hi pregnant found w w hours right puts pillow thing perspective fit thing says want involved comfortable involved great miss mean involved mean biggest job want sonogram thing tomorrow gon idea gon father ruined right think great mom sorry girl going mom restaurant work restaurant come help spaghetti know going sound selfish planning bringing baby thing think heat supposed mean going stories news little anecdotes share folks realise guys wondering happened deal lesbian living woman named pregnant child going raise baby folks bad people pros know time job know change parents boy want pee worse twins twins speak powered driven career type waitress guys got clean child right imaginary friend parents preferred lights cleaning need help sure thanks nervous tomorrow little mm hmm lot got advice dumped wanna steer clear word dumped chances gon broken shell man try look terrific know hard ring got tomorrow complicated got remember high school mean think gon meet somone fall man thought late stuck work big dinosaur thing remember forget good shake good shake waiting course familiar special situation supportive great thanks opens cervix sure fine fine gon hours doin okay look great gagging dumped gon work important decisions instance know baby boy girl grandmother hear agreed agreed spend rest lives things change roll punches believe table sorry got job great tanned went went honeymoon went hurt went maid honour thing got plugs careful taken got lenses hate sticking finger eye listen wanted thank month wanted hurt wanted hurt life orthodontist know right mean thought happy happy happy guess belongs thank giving thank giving wrong think gon thank mean gon talked wait minute title baby remember making sperm know challenge stop gets credit suggesting think borders child abuse suggesting bunch knows gon names wind calling gets way way think way believe ways imagined moment life hard little gon think involved particular thing look know amazing supposed seeing dunno think attack enterprise know tilt head left relax eyes looks old potato alright think mm hmm welling welling gon aunt shut hi fine saw today told okay hope happy works guys end getting married having hope old hairline old nose know cheap shot feel,10709.0,3170.0
2,1994,1,3,The One with the Thumb,22,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,James Burrows,8.2,4605,13,hi guys good walked subway said ouch said good right translated means naked dating language means nice guy means gon dating leather wearing alcoholics complaining think people means knows cushions blow kid parents dog sleep tell went live farm funny parents send dog live farm farm unbelievable farm horses rabbits chase feel knowing die minutes pain live knowledge sent honest man die good thanks let going whaddya want wanna cell cell smoke smoke think damone smokes cell relax hand try taking puff giving cigarette fine fine look wanna think cigarette think thing missing hand holding feel right feel complete smoke distance tip guy thumb tip index finger ridiculous use thumb tell tell cappucino black iced tea getting good excellent good bank going mail open monthly know easy extra dollars account minions work deal talking earn kept stealing spent shopping let bought great pair shoes know hear step took happy got able enjoy giant karmic debt hey whaddya smoking smoking smoking believe good years reward hold second alright think went time quit time quit putting putting drink gon change got date good nice having fun meet guy let today come come happened talking love schhexy look know feel chance figure meet mean let meet mean bring guy home minutes mean coyotes picking weak members herd listen seen fair share bad beef tell know wish bring guy liked realise odds happening little slimmer meet guy let know promise promise good promise good come filter tipped little buddy stay dear thank calling attention error credited account dollars sorry inconvenience hope accept phone free gift believe dollars football phone bank okay good remember heard schho guyschh thanks tomorrow let let bashing begin gon shot hmm let start way kept picking sorry loved loved great wait minute talking going notice know great way smile crooked man shoe shoe nursery rhyme crooked man crooked smile lived shoe think yardstick future boyfriends measured future boyfriends think marry impression know gon parties right know like way makes feel game thank fantastic question unbelievable cartoon playing positions right bugs base second base mean team showed hassidic jewellers thing softball ask guys question think dunno little impossible innate ness adore gallon brought alphabet soup pick vowels left like dollars football phone money know want want fine like tin foil hat need okay thanks let buy soda change wanna fine thumb know know opened floating tiny little hitch hiker contest collect cut worse thumb unfair unfair flaw big deal constant knuckle cracking annoying pronouncing single word snort laughs mean hell thing accept flaws accept knuckle cracking bother live little annoying chews hair listen think endearing know wrong speaking work ordered hooohhh hair comes gloves come guy friends like going guy friends like talking coyotes cow got believe feel thing mean feel thing feel thing feel thing listen feel guy dump know gon hard big boy fine worried respect body realise guys cancer emphysema heart disease line smoking cool know wants speak buddy told true thanks good woman old sock sock hand years talking think time change nicotine patch ate stick gum killed think wrong think hall thanks alive pleasure gon rest want rest stupid soda people gave dollars thumb kidding way stepped gum universe going think nice gets wear underwear okay guys talk wait wait getting deja vu talk know mean easy way decided break things change people change change know let guard start care look fair fair fair wants fair want things way sorry sorry feel better believe mean holidays coming wanted meet meet somone guys gon okay fine gon need little time understand sorry sorry got tell little relieved relieved great time stand friends remember went rented boats fun row viking hi mention said gon miss guys rough day getting cigarettes care care weak got smoke got smoke smoke dollars,12313.0,3689.0
3,1994,1,4,The One with George Stephanopoulos,22,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",James Burrows,8.1,4468,14,omnipotent day want world peace hunger good things rain forest bigger boobs took omnipotent day omnipotent guy wish wish wishes buddy omnipotent kill excuse dead got reason live sorry sleep public place look peaceful okay nodded going got sleep night grandmother new boyfriend insecure bed deaf having reassure having good time idea loud want stay tonight thanks told steps place got waaaay free time birthday boy check happy birthday love man funny birthday months guessing extra ticket decide got bring date glass today twentieth hoping remember wrong twentieth days good costumes gone today day consummated physical relationship sex know better pass game think gon think ex wife lesbian lover hell hockey let ice guys night whaddya big guy idea mind promise buy big thumb finger got look look look look look pay check look window remember day got pay check cave mines people killed worked worked exciting earned wiped tables steamed milk worth getting money mean look bad fine job live way great service tonight swear seen birds guys city shopping mom said work true look apron look play look big believe know know duplex going guess dad making partner firm subject news look look elbows poulet passes leetch spots pass brief time stops look women shoes wearing boots night fact pit pit night nectarines peach got dressed walked bus stop fine woman got ass trying find stuff guys tell dirt biggest news dumping altar let talk reality second coming guys got waitressing waitressing write specials specials board dead flowers vase lets little chocolate blobbies cookies mom tell blobbies friends like rum thought staying tonight kinda slumber party thing got trashy magazines got cookie dough got brought lost tweezers operate prep guy card people ask want tell reference hold unusual activity account card weeks unusual activity look wanna okay wanna know okay wanna know okay let let guys took money know getting married getting promoted getting pregnant getting coffee sounds okay tell okay okay left building let play sorry ice night plastic seats angry fans saying looks sitting mention ice night frost sit sit sit feel great amazing independence thing amazing gave jack downstairs gave got magic beans woke big plant window possibilities stuff lived village live gave cow gave orthodontist know know love love cow plan clear figured mean time know going got figure point gon come gon word come pheebs like question guys magic beans mean got beans yesss laughing pal buddy need bunch toothless guys hitting sticks pass pass open look tv thing scuse says number satisfied candy bar satisfied listen emergency guess know predicament room hold fill sit wanna trouble lot pain face dented wait turn think minute heyy sorry guys mean bring right plan thank food plan ordered ordered fat free crust extra cheese wait small guy intelligent good looks wearing stunning blue suit power tie nuts got pizza friend pizza wanna lemme lemme spying adviser campaign guy great hair sexy smile cute butt little guy love wait wait woman tell mother mother wait walking floor walking walking going bitch excuse look hour lot people sick friend gone mean guy toe thing sleeping mad know said things mean mean love feel lost light napping having sex whaddya think think shy think draw preppy animal remember moonlight coming face incredible glow moon glow magical feeling painkillers right big deal today slept time slept years look little complicated left likes women left woman likes women little think man twelfth floor coma hear time time life boy hockey big mistake bunch stuff tonight got remember vegetarian pate loved goose vegetable ha haaaah fine fine feel bad sleeping slept broken long couple hours nice got valentine left locker excuse gon send big girl big girls pee pants seventh grade laughing laugh looking night cute baby drop towel drop drop towel drop wowww man believe sex woman think great sweet romantic kidding guy freak buddy attractive thought great silence come admit things considered fun tonight fun tell fun puck kid kid excuse puck found finders keepers losers weepers got man rubber glue gimme puck rough holding fun okay played thanks card people place know thanks okay green green got magic beans mind left aww fine,12290.0,4041.0
4,1994,1,5,The One with the East German Laundry Detergent,22,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",Pamela Fryman,8.5,4438,15,let big deal big deal amazing reach little maneuver bam bra sleeve concerned guy comes close right come guys pee standing tryin know blows mind women breasts time want look work know way guys mean things care multiple orgasms night big night date night night ur day night plans breaking shut likes breaking got know hard know mean sitting idea happening courage horrible awkward moment handed note break man stop calling know want thanks think feel gangin mean break break breaking know sweet fun know know hunger strike know want week wonderful nutty cakey pie thing fine matter scrunchy father wants convertible guy burns horrible called young lady hate father calls thing got extended disco version choruses dumped agrees gon wanna eager cool look good wearing dress accents boobs tonight big glamour night hear freaky coincidence guess laundry clear join laundry room building laundry room building rat problem attracted dryer sheets fine fluffy sevenish forget hell great smart sophisticated real job auditions month actor come great fun stuff talking sorry said let friends guess friends fine fine dinner tonight know friends know girlfriend guy perfect forget cousin belch alphabet come guy great brother smart sophisticated real job auditions month actor help laying kitchen look asking favor brother come going tons girls know huge mistake broken help coming gon hold camper sure thought thing laundry thinking minimal date going date saying shave pick wine wanna rethink dirty underwear time gon underwear want dirty fabric softener wrong snuggles says sensitive warm guy know warm fuzzy bear pick way thank guy look tall short yep met know guy attractive shutting nice great tomorrow rent car run puppies wanna good break glad called awful day good espresso latte got proofs photo shoot know little vegetables sucked blew rest day went shopping got looking looking looking got got bullwinkle socks sweet knew figured know wear wear mix match moose squirrel want great gon espresso latte working hard looked brutal scuse machine kinda saved basket sorry basket pretty suds suds save ok horrible woman took machine basket suds know suds save suds excuse hold second friend machine stuff rule know ok let laundry amazing send soup sweet gentle need detergent new german extra tough gon separate total laundry spaz mean supposed use machine shirts machine pants know people caught laundry virgin worry use gentle cycle wanna use machine whites nother machine colors delicates bras panty things ok white cotton panties whites delicates judgment cute guys grow happen feeling falling lucky man know miss cute noise eats happy little squirrel weasel noticed listen great gon bed got tell terrific great meet guy smart funny emotional age know unbelievable bed brother told lost virginity nice pulling aid wound exposed think stop stop stop know gon sound stupid feel know laundry sound stupid know time dinner left sorry time laundry song laundry song sing laundry matter laundry come left red sock whites pink pink red sock red sorry upset happen happened gon look big marshmallow peep father right live laundry went wrong head inflate head flopping right thinking inappropriate got eye check light table cocktails come close close got tongue ear gotten little rambunctious sick disgusting true true mean thinking look proud little ow outta wait wait wait want want likes thinking heads break sorry believe stop laughing story waiter plate chicken wings thing know mean different bing bing bing boom boom boom ow sorry ok ow lens lens hit eye hit eye worst break history world know easy easy happy place fine fine comes wait gift break like got clothes clean important guess looks jammies sorry excuse cart inch waist lose things come outta way sorry know clear cart clothes quit making rules let listen missy want cart gon incredible brand new woman ladies gentlemen clothes dryer fine fine sure sure ok hurt neat idea clothes match gon excellent ripped couple kept pieces beautiful story fine way sorry needed time grieve free free,12660.0,3859.0
5,1994,1,6,The One with the Butt,22,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,Arlene Sanford,8.1,4274,16,look look look look picture exciting spot seen plays fear sense impending doom exclamation point title scares freud shhh shh happen excellent vork pwoblem clear feel violated feel wanted peel skin body feels beautiful woman hel lo amazing makes women dream look short fat bald men opening line excuse person league woman years thank buddy beautiful women guys guys believe considering aware tongue goes word said wanted like goodnight play know dance beard think play know dance beard guys bad better thing trolls got head saw head saw head said said awful play man italian pronounces chand lrr lrr think like better way listen usher gave agency left card wanna sign based play based play kids line passion line believe seconds asked date went date lrr unbelievable met amazing life israeli army bullets hit engine block border talking night sorry tell stories got subway night rode way hell talked perfect evening realised sorry husband divorced sorry married tell think husband feel sitting sliding foot pant leg count change pocket worry imagine okay okay boyfriend explain kind relationship imagine having husband boyfriend suppose sexual sorry work work seeing listen story listen story mean twisted involved woman trouble way look good stuff true fantasy course guys mind going going good woman need know going people monogamy tricky concept mean fine fine know kidding tell theory greeting way like look cleaned windows floors attachments vacuum little round bristles know knows supposed ask whaddya think clean looks great terrific moved green ottoman happen dunno thought looked extra seat coffee table interesting fun let looked old spot compare let looks good let leave believe tried green ottoman thank try fan magazines mean scratch eyes guys bad remember lived like little ree ree ree ree unfair kids doll raggedy responsible organised kook madcap try imagine phone bill arrives pay kook wait send notice let grocery shopping buy laundry detergent easy pour spout wonder left glass coffee table coaster cold drink hot day little beads condensation inching way surface wood stop true mom ree ree ree ree ree agent agent gotten job new movie believe guy reason actor order pfeeeh order courtroom order thought pull mah mah mah butt double play butt alright goes shower butt guys real movie big terrific deserve years struggling able crack way showbusiness fine jokes care big break right right gon invite big opening alright need borrow moisturizer whaddya think today big day bathroom use want tell thank mom phone bathroom think wanna roommates eyes eyes warned loud listen wanna borrow coupla things spent night wanna breakfast got night minutes sense little bit resentment resentment believe worth relationship key moments know remember rest life second wasted talking people help door old remind scrub pan plastic brush gon dammit hire girl okay ready listen wanna thank great opportunity lose robe work losing robe robe lost like let roll water working action cut hell showering clenching way guy upset mean wife dead brother missing think butt angry think butt like shot lunch rolling water working action cut going quiet desperation ask love fingers thank meant fingers look look happy late nonononononnononono bad leaving sorry waiting thought talked got spend day know moments years come regret asking following question new saying fulfilled women kill guys want mean lose guys great talk laugh love feeling obligated tonight thought wanted wants guys mean guy going shut great guy guy wells time heart grows sizes breaks measuring device saying hard guys listen know listen let finish second guy change mind guy runs lips look way waitwait guy plays butt new movie happened big guy big guy felt big guy moment got fired said acted told gon theatre expecting know gon able tell mom sweet disturbing crappy plays years shot blow shot mean think shot know shot feel shot hard tell naked think shot mean think shot believe big things gon happen got thinking day kid gon run friends got got gon ass nice sorry gon bed guys night gon leave shoes strewn reckless haphazard manner matter tomorrow kook bothers shoes stupid prove gon know wake need help,12642.0,3998.0
6,1994,1,7,The One with the Blackout,22,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",James Burrows,9.0,5469,17,shhh uhhh proud present music want start song s moment realize life ok thank great cool guys entire city blacked mom says parts idea coming guys big sweater mom gon meet blackout power company guys eligible looters talk borrow phone want apartment check grandma number secret model right trapped vestibule vestibule atrium focus idiot fine stuck bank vestibule says going vestibule fine know guy guy guy saw guy night guy officiating tonight blackout old roomate jewish candles look lit bunch candles hurt half minutes said word contact smile scaring like guys went high school thanks ok fine trppd vstbl wth trppd vstbl wth idea said phone man trppd vstbl wth trapped vestibule listen thought entered mind senior year college pool table sister weirdest place women room second floor public library library way ride broke went couple mechanical dutch children fixed ride asked return come went come weirdest place foot bed step winner relationship kind passion know middle theme park thing line kiss miniature golf course come said holding people marry mean think people life having kind know tell passion way overrated burns left trust security case ex wife lesbianism know people miss passion thing good stuff ok think going big passion future great gon happen waited long friend zone zone mayor zone taking time laying groundwork mean day little bit telling idea thinking ask going end stuck zone waiting right moment messing wine candles moonlight got think shushing shushing trying hear listen hear ahhhh like gum sugarless thanks hell mental note power milk getting sour scary stay dairy ok goes going going want help come dead man good luck man thanks going reason tell going got promise tell told planning birthday party love act surprised surprise party surprise party stop told tell look thing typical know tell stuff know got bitten peacock zoo know crush moving looks second nice question question general wondering ment goes wanting right look little cat ow hurt wax poor little scared death find owner poor little hall blackout trampled know second thought gum perfection perfection perfection said gum nice stick gum perfection loathe hate living things right hi found cat looking owner hate sure wait minute bad man kitty kitty kitty kitty little kitty kitty kitty kitty kitty kitty kitty lucky sixes want meet friends hi speak look come think mean tonight building lives cat cat turned cat funny keeps touching looked building find kitty found cat know guessing told betcha let blow bubble bubble good got boyish charm impish nice going ok need reach mouth good save track chewing gum gum choking alright choking thank wha funny idea classic guys want know want bite lip time smiled seconds exciting weeks know ride mopeds heard know superficial common speak language listen listen know thing thing thing thing sex sex point point know going way thing sad se vice know little poco leetle know word crapweasel funny know huge crapweasel hour watch easy ready got whip look look look candle burn negative negative negative thank thanks spooky lights hah hah guys guys definitive hah best time bring throw party fun thanks letting use phone saving life goodbye great blackout account number know got like copy tape,10160.0,3064.0
7,1994,1,8,The One Where Nana Dies Twice,22,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,James Burrows,8.1,4156,18,gorgeous going dehydrated japanese noodles fluorescent lights better question dating met perfect perfect problem said co dependent self destructive want date cute funny good gon flush toilet goodbye enjoy cup noodles mean ridiculous believe thought mean met thought spent entire birthday party talking breasts figured rest guys think met think college kidding tell wanted told seeing liked fascinating dunno smart funny smart funny think quality quality quality good worried guys gon vague calling calling calling got dad beeped quick talking talking dad unbelievable mother relax relax gon looks boyfriends career cover fuzzy little mints purse gross know loved stealing restaurants looks small know nurse said passed past present happens passed know hair hair homosexual hair sucks guys okay dunno weird mean know gone feel gone gone checked lot mean goes mom died feeling best friend junior got struck lightning miniature golf strong vibe use little yellow pencils miss want thanks sharpened morning believe think dead dead gone worm food looks gay dunno thought gon closed casket retainer define fun throw body water sound fun gorgeous look sorry yesterday nono worry believe people mistake think dunno quality right great shame great couple saw cute point gon set like think set think little league excuse think believe shown want mother spend eternity lemon yellow pant suit burgundy fine choice coming going dressier okay evening shoe burgundy silver work wait stuff guys ready mom called morning remind wear hair know ears best feature days think hi late find bearings mean earrings shoes sent shoes morning ready look nice dressed stuff beautiful service overcoat sounds check watching football game funeral pre game gon watch reception frightening frightening man new shoes hope ruined great day weather know air trees gone dunno life fine having worst fear realised worry checking muscle missed belt loop spasm daughter idea look feel feel great great fleel great pills worked second woooo love guys guys greatest love sister love nice listen man wanna gay gay matter right love know love hearing disability minutes hand cracker funeral sounds imagine wonder tell mean tell drove crazy picking little detail hair example think things better told truth think thank little naked guy little naked guy look little thing fine penis grown ups people got middle gang look grandmother old let looks fun gang look look look look look got naked trying going paper mache heads good good listen dunno told know told tell time kind radar think quality speaking people way friend waaay league league wanted,8470.0,2463.0
8,1994,1,9,The One Where Underdog Gets Away,22,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,James Burrows,8.2,4038,19,know worked wondering think possible got advance salary advance spend family year skiing father pays ticket started independence thing know took job sweetheart terrible terrible waitress awful hear trying think need coffee look excuse sir come time wondering think possibility advance tips fine fine sorry spill know going invited wrong wrong wrong talked calling cry help department wearing makeup today actor slash model funny thinking look man slash woman modeling know posters city free clinic gon healthy healthy healthy guys know asthma guy cute know gon hear lyme disease open good luck man hope thanks right tell cook dinner place mashed potatoes lumps know supposed work lumps going right assume boycotting pilgrim holidays single gon grandma boyfriend celebrating lunar free come thinking gon shoop shoop dollars thought broke cup invite ex wife want bring life partner faculty meeting came pick skull susan thanks borrowed class museum look big face skin familiar concept look guys lot books lesbian know course let classic reading baby baby born mean crazy think hear sounds mean talk time want baby know voice talk time refer look talking think belly time believe believe think baby hear look little weird head turkey talk hear like experiment fact butter head money close forget forget seeing family forget shoop shoop shoop mail thanks table mail thanks table open guys great chipped owe bucks thank thank got traditional feast got tomato soup grilled cheese fixin family size bag wait dinner holiday years old hate story finished magnificent dinner remember mouthful pumpkin pie moment parents choose tell getting divorced difficult appreciate dinner seen reverse work girl right guy got tell best business amazing know lay know means smell great tonight wearing listen wanna drink wrong remembered leave wait wait wait guess saw saw laughing know laughter infectious set place entire family thinks tonight special looking good cider mulling turking yams yamming know kitchen know way stop moping closer got tickets got tickets hours shoop shoop shoop stop shooping gon stuff come prefer safe distance merriment look incoming pumpkin pie laughed stuffing funny got question tater tots question mom makes tradition little piece fork little cranberry sauce tot bad family disease fine tonight potatoes mashed lumps form tots talk unborn child hit whip potatoes needs lumps sorry thought whipped add peas onions mom know died kinds potatoes coming good guys thanks sorry sorry unbelievable thing happened gotten balloon actual cartoon character balloon news reached broke free spotted flying roof got come foot inflatable dog let loose city happen got keys got keys ready talking mean way offer certain acoustical advantage aim bump goes know know weird feel stupid fine baby loved moment saw giant dog shadow park shoot mean mean right turkey crispy outside juicy inside standing waiting open door got keys left said got keys asked got ke eys said got keys keys oven got ticket wait wait copy key tone telling got pick major got pick major dare picked paleontology idea saying let face fetus happy gills look talk sing want singing stomach goin come street funniest looks meet hey feel singing singing baby wait meet come buy bagel zoo felt daddy breasts got keyhole zillion keys math guys keys emergency listen smirky stupid balloon plane watching woman swear said keys keys keys keys keys keys keys fact said responsibility making dinner know wants different kind potatoes making different kinds potatoes care kind potatoes want gets peas onions gets tots burned dogs hear look door open turkey burnt ruined potatoes ruined potatoes ruined come smell wanted lumps buddy got great plane gone looks stuck guys better plans choice busting ass delicious dinner delicious stop stop stop feels taking turkey oven having dinner got nice carve means wants light cheese wants dark cheese wanna know dark cheese wanna split guys wish wish come know got bigger half wish bigger half like propose toast little toast ding know kind planned great know think involve divorce projectile vomiting thinking mean gone family syphilis stuff know guess trying thankful thanksgivings sucked sweet lousy crappy,12344.0,4019.0
9,1994,1,10,The One with the Monkey,22,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,Peter Bonerz,8.1,4064,110,guys like meet w wait precious friend rescued lab cruel parent child monkey got ass gon live apartment mean quiet left roommate dunno think reach certain age having roommate pathet cool way live guys new material tonight new songs mother suicide snowman wanna open snowman buddy job year dunno fat guy sleeping store manager political gon gon helpers slap face guys know wrong face horrible pressures holiday information gon pathetic rest wish sick victim holiday year dates pact dinner hoping little enthusiasm good okay ladies gentlemen popular demand thanks wanna start song means lot time year okay important discuss playing assume important hear guy going note saying speak saying friend thought beautiful woman seen life said said thought beautiful woman seen life said liked lot thought hard quality quality beautiful conventional way luminous kind delicate grace started yelling gon short break guy going note come sit believe kissed mean sixth date mean named breasts share smidge methodical think romantic guy went smarter gentler sweeter time day night night day special occasions wait minute wait minute going gon ask gon break pact gon break pact asked pact pact snapped okay handle pressure snapped worst breakup history saying good idea saying snapped late jokes mock nice shoes playing spatulas look gon hurt right bring wanna leave fight morning think working said things mean threw faeces gon work look great sure favour asks going lie test theory today particle accelerators powerful simulate conditions question planning kissing valid question answer wanted phenomenal kiss happened phenomenal moment waited phenomenal kiss reached place got things like sweep table throw sweeping fella think sweeping sorta fella mean sweeper trapped physicist body sure sweep throw expensive gift tidying hell hell want throw wanna hop tell phrase date pact mean sorry thought ask ex boyfriend know happen know room milk date evening dates catching earlier flight met hot single mom store elf gon standing ball drops big party know needed matter keeps shutting walking time dragging hands weird blast night played watched tv juggling thing amazing juggling thing balled socks figured taught big deal balled socks melon know seen tell pack bags going know got grant years expenses paid leave told congratulations exciting exciting going going tell wanna work wanna stay girlfriend thank thank going know know gon decide thing stay stay stay getting good stuff love artichoke thing tell diet starts tomorrow remember sandy brought kids okay right tay thing coming thing greet guests party let ask showed new girlfriend welcome home guessing new girlfriend urinate coffee table embarrassed courage walk happened thank whaddya little mingling alright catch honey okay missed flight face bloated airport getting cab blonde planet starts yelling cab thing know starts pulling hair blowing attack whistle thingy cabs going cab tackles hit head kerb cut lip whistle having fun party people eating dip saw store week time undressed elf dirty kids look saying spend evening check got found picture smile kill kill hey died gon blow gon write reunited glitter invited party think meant sorry misunderstood listen listen times gon chance thing decided alright fine fine going going going belong stay means break break work life work work tearing choice understand understand ow arms arms tell love forget forget midnight wanna start new year finish gon miss scientist guy kids peacock bit kiss midnight seen know tell bedroom getting scientist geek look know tell bll drrbing bll drrbing moment joy looks date pact thing worked looks happy hate happy thought throw math whiz believe girls guys dunno feel kissing tonight kiss kissing kiss brother perfect perfect getting kissed kiss kiss midnight kiss wanted work mean changing diapers pickin fleas phoning hard accept fact love love think bitch cracked tooth,12397.0,3734.0
